,Hashtag ID,Hashtag,Description,Link to Trend Page,Number of Videos with Hashtag (in Thousands)
0,400318,#buffering,Use our Creative Effect and show us what happens when you start #Buffering.,/tag/buffering,443800.0
1,1647119754150918,#tiktokmademebuyit,"Whether you're still hunting for feta cheese or just browsing the aisles, share your reviews for all things TikTok Made You Buy.",/tag/tiktokmademebuyit,2800000.0
2,1662027712917510,#prideanthems,"Whether it's an iconic bop that's been an essential part of queer history or a personal fav that means a lot, tell us your favorite #PrideAnthems.",/tag/prideanthems,38100.0
3,1637138684632070,#foryourpride,"Pride Month is here, and TikTok is celebrating our amazing LGBTQIA+ community. From trailblazing creators pushing for progress to organizations making a difference, here's to a community where everyone is free to be themselves and create great things.",/tag/foryourpride,466200.0
4,1587934459506690,#tiktokart,"From painters to sculptures and everything in between, here's to the entire #TikTokArt community.",/tag/tiktokart,5800000.0
5,27892,#memorialday,Commemorating #MemorialDay.,/tag/memorialday,830900.0
6,1596232738661382,#dreamaesthetic,What's your #DreamAesthetic?,/tag/dreamaesthetic,143400.0
7,4174123,#classof2021,"Whether you're celebrating online or just partying with friends and family, pull on your cap and gown because this one is for the #ClassOf2021.",/tag/classof2021,1300000.0
8,12106204,#todayislove,#TodayIsLove! We love today.,/tag/todayislove,288100.0
9,15290423,#uclfinal,The 2020/21 Champions League final is here! Use the official Champions League anthem and show your passion for Europe's premier club competition!,/tag/uclfinal,530900.0
